position_number,position_description,name,dob,nationality,value
18,Left Winger,Diogo Jota,"Dec 4, 1996 (23)",Portugal,£25.20m
10,Left Winger,Daniel Podence,"Oct 21, 1995 (24)",Portugal,£15.30m
7,Left Winger,Pedro Neto,"Mar 9, 2000 (20)",Portugal,£13.50m
37,Right Winger,Adama Traoré,"Jan 25, 1996 (24)",Spain / Mali,£31.50m
9,Centre-Forward,Raúl Jiménez,"May 5, 1991 (29)",Mexico,£36.00m
33,Centre-Forward,Léo Bonatini,"Mar 28, 1994 (26)",Brazil / Italy,£2.52m
30,Centre-Forward,Leonardo Campana,"Jul 24, 2000 (20)",Ecuador / Spain,£1.62m
1,Goalkeeper,Lukasz Fabianski,"Apr 18, 1985 (35)",Poland,£2.88m
35,Goalkeeper,Darren Randolph,"May 12, 1987 (33)",Ireland / United States,£2.52m
25,Goalkeeper,David Martin,"Jan 22, 1986 (34)",England,£225Th.
23,Centre-Back,Issa Diop,"Jan 9, 1997 (23)",France / Senegal,£25.20m
4,Centre-Back,Fabián Balbuena,"Aug 23, 1991 (29)",Paraguay,£8.55m
21,Centre-Back,Angelo Ogbonna,"May 23, 1988 (32)",Italy / Nigeria,£5.85m
20,Centre-Back,Gonçalo Cardoso,"Oct 21, 2000 (19)",Portugal,£2.07m
3,Left-Back,Aaron Cresswell,"Dec 15, 1989 (30)",England,£5.85m
26,Left-Back,Arthur Masuaku,"Nov 7, 1993 (26)",DR Congo / France,£5.85m
24,Right-Back,Ryan Fredericks,"Oct 10, 1992 (27)",England / Guyana,£3.60m
53,Right-Back,Ben Johnson,"Jan 24, 2000 (20)",England,£900Th.
41,Defensive Midfield,Declan Rice,"Jan 14, 1999 (21)",England / Ireland,£44.55m
28,Defensive Midfield,Tomas Soucek,"Feb 27, 1995 (25)",Czech Republic,£16.20m
16,Central Midfield,Mark Noble,"May 8, 1987 (33)",England / Ireland,£4.32m
19,Central Midfield,Jack Wilshere,"Jan 1, 1992 (28)",England,£4.32m
-,Central Midfield,Josh Cullen,"Apr 7, 1996 (24)",Ireland / England,£1.08m
10,Attacking Midfield,Manuel Lanzini,"Feb 15, 1993 (27)",Argentina / Italy,£14.40m
18,Attacking Midfield,Pablo Fornals,"Feb 22, 1996 (24)",Spain,£14.40m
8,Left Winger,Felipe Anderson,"Apr 15, 1993 (27)",Brazil,£22.50m
-,Left Winger,Grady Diangana,"Apr 19, 1998 (22)",England / DR Congo,£4.05m
17,Right Winger,Jarrod Bowen,"Dec 20, 1996 (23)",England / Wales,£22.50m
7,Right Winger,Andriy Yarmolenko,"Oct 23, 1989 (30)",Ukraine,£8.55m
11,Right Winger,Robert Snodgrass,"Sep 7, 1987 (32)",Scotland,£4.32m
22,Centre-Forward,Sébastien Haller,"Jun 22, 1994 (26)",France / Cote d'Ivoire,£32.40m
30,Centre-Forward,Michail Antonio,"Mar 28, 1990 (30)",England / Jamaica,£8.55m
1,Goalkeeper,Tom Heaton,"Apr 15, 1986 (34)",England,£4.32m
-,Goalkeeper,Lovre Kalinic,"Apr 3, 1990 (30)",Croatia,£2.52m
12,Goalkeeper,Jed Steer,"Sep 23, 1992 (27)",England / Scotland,£1.08m
25,Goalkeeper,Örjan Nyland,"Sep 10, 1990 (29)",Norway,£1.08m
40,Centre-Back,Tyrone Mings,"Mar 13, 1993 (27)",England / Barbados,£20.25m
22,Centre-Back,Björn Engels,"Sep 15, 1994 (25)",Belgium,£8.55m
15,Centre-Back,Ezri Konsa,"Oct 23, 1997 (22)",England / DR Congo,£8.10m
30,Centre-Back,Kortney Hause,"Jul 16, 1995 (25)",England / Bermuda,£5.85m
18,Left-Back,Matt Targett,"Sep 18, 1995 (24)",England / Scotland,£9.45m
3,Left-Back,Neil Taylor,"Feb 7, 1989 (31)",Wales,£2.52m
24,Right-Back,Frédéric Guilbert,"Dec 24, 1994 (25)",France,£6.30m
27,Right-Back,Ahmed Elmohamady,"Sep 9, 1987 (32)",Egypt,£1.80m
-,Right-Back,James Bree,"Dec 11, 1997 (22)",England,£1.08m
6,Defensive Midfield,Douglas Luiz,"May 9, 1998 (22)",Brazil,£19.80m
11,Defensive Midfield,Marvelous Nakamba,"Jan 19, 1994 (26)",Zimbabwe,£7.20m
7,Central Midfield,John McGinn,"Oct 18, 1994 (25)",Scotland,£14.40m
14,Central Midfield,Conor Hourihane,"Feb 2, 1991 (29)",Ireland,£5.40m
8,Central Midfield,Henri Lansbury,"Oct 12, 1990 (29)",England,£1.08m
10,Attacking Midfield,Jack Grealish,"Sep 10, 1995 (24)",England / Ireland,£36.00m
17,Left Winger,Trezeguet,"Oct 1, 1994 (25)",Egypt,£7.20m
21,Right Winger,Anwar El Ghazi,"May 3, 1995 (25)",Netherlands / Morocco,£7.20m
23,Right Winger,Jota,"Jun 16, 1991 (29)",Spain,£3.15m
9,Centre-Forward,Wesley,"Nov 26, 1996 (23)",Brazil,£21.60m
20,Centre-Forward,Mbwana Samatta,"Dec 23, 1992 (27)",Tanzania,£8.55m
-,Centre-Forward,Scott Hogan,"Apr 13, 1992 (28)",Ireland / England,£2.88m
39,Centre-Forward,Keinan Davis,"Feb 13, 1998 (22)",England,£2.07m
1,Goalkeeper,Martin Dubravka,"Jan 15, 1989 (31)",Slovakia,£6.75m
26,Goalkeeper,Karl Darlow,"Oct 8, 1990 (29)",England / Wales,£2.16m
29,Goalkeeper,Mark Gillespie,"Mar 27, 1992 (28)",England,£360Th.
6,Centre-Back,Jamaal Lascelles,"Nov 11, 1993 (26)",England,£13.05m
5,Centre-Back,Fabian Schär,"Dec 20, 1991 (28)",Switzerland,£11.70m
3,Centre-Back,Paul Dummett,"Sep 26, 1991 (28)",Wales / England,£4.95m
18,Centre-Back,Federico Fernández,"Feb 21, 1989 (31)",Argentina / Italy,£4.95m
2,Centre-Back,Ciaran Clark,"Sep 26, 1989 (30)",Ireland / England,£4.32m
20,Centre-Back,Florian Lejeune,"May 20, 1991 (29)",France,£4.32m
11,Left-Back,Matt Ritchie,"Sep 10, 1989 (30)",Scotland / England,£8.55m
22,Right-Back,DeAndre Yedlin,"Jul 9, 1993 (27)",United States / Latvia,£5.85m
17,Right-Back,Emil Krafth,"Aug 2, 1994 (26)",Sweden,£3.60m
19,Right-Back,Javier Manquillo,"May 5, 1994 (26)",Spain,£3.60m
14,Defensive Midfield,Isaac Hayden,"Mar 22, 1995 (25)",England / Jamaica,£7.20m
43,Defensive Midfield,Matthew Longstaff,"Mar 21, 2000 (20)",England,£4.50m
36,Central Midfield,Sean Longstaff,"Oct 30, 1997 (22)",England,£15.75m
8,Central Midfield,Jonjo Shelvey,"Feb 27, 1992 (28)",England,£13.05m
35,Central Midfield,Jeff Hendrick,"Jan 31, 1992 (28)",Ireland,£8.10m
-,Central Midfield,Dan Barlaser,"Jan 18, 1997 (23)",England / Turkey,
24,Attacking Midfield,Miguel Almirón,"Feb 10, 1994 (26)",Paraguay,£14.40m
27,Attacking Midfield,Henri Saivet,"Oct 26, 1990 (29)",Senegal / France,£720Th.
10,Left Winger,Allan Saint-Maximin,"Mar 12, 1997 (23)",France / Guadeloupe,£25.20m
30,Left Winger,Christian Atsu,"Jan 10, 1992 (28)",Ghana,£4.32m
-,Left Winger,Rolando Aarons,"Nov 16, 1995 (24)",England / Jamaica,£360Th.
-,Right Winger,Jacob Murphy,"Feb 24, 1995 (25)",England,£3.15m
9,Centre-Forward,Joelinton,"Aug 14, 1996 (24)",Brazil,£18.00m
12,Centre-Forward,Dwight Gayle,"Oct 17, 1990 (29)",England / Jamaica,£8.55m
13,Centre-Forward,Yoshinori Muto,"Jul 15, 1992 (28)",Japan,£4.95m
7,Centre-Forward,Andy Carroll,"Jan 6, 1989 (31)",England,£2.88m
1,Goalkeeper,Alex McCarthy,"Dec 3, 1989 (30)",England,£5.85m
44,Goalkeeper,Fraser Forster,"Mar 17, 1988 (32)",England,£5.85m
28,Goalkeeper,Angus Gunn,"Jan 22, 1996 (24)",England / Scotland,£4.50m
41,Goalkeeper,Harry Lewis,"Dec 20, 1997 (22)",England,£180Th.
35,Centre-Back,Jan Bednarek,"Apr 12, 1996 (24)",Poland,£13.50m
4,Centre-Back,Jannik Vestergaard,"Aug 3, 1992 (28)",Denmark / Germany,£10.80m
22,Centre-Back,Mohammed Salisu,"Apr 17, 1999 (21)",Ghana,£10.80m
-,Centre-Back,Wesley Hoedt,"Mar 6, 1994 (26)",Netherlands,£5.85m
5,Centre-Back,Jack Stephens,"Jan 27, 1994 (26)",England,£4.95m
3,Left-Back,Ryan Bertrand,"Aug 5, 1989 (31)",England,£9.45m
-,Left-Back,Sam McQueen,"Feb 6, 1995 (25)",England,£720Th.
29,Left-Back,Jake Vokins,"Mar 17, 2000 (20)",England,
2,Right-Back,Kyle Walker-Peters,"Apr 13, 1997 (23)",England,£7.20m
18,Right-Back,Yan Valery,"Feb 22, 1999 (21)",France / Tunisia,£5.67m
-,Defensive Midfield,Mario Lemina,"Sep 1, 1993 (26)",Gabon / France,£9.00m
6,Defensive Midfield,Oriol Romeu,"Sep 24, 1991 (28)",Spain,£7.20m
-,Defensive Midfield,Harrison Reed,"Jan 27, 1995 (25)",England,£2.16m
8,Central Midfield,James Ward-Prowse,"Nov 1, 1994 (25)",England,£16.20m
20,Central Midfield,Will Smallbone,"Feb 21, 2000 (20)",Ireland / England,£900Th.
17,Attacking Midfield,Stuart Armstrong,"Mar 30, 1992 (28)",Scotland,£5.85m
-,Attacking Midfield,Jake Hesketh,"Mar 27, 1996 (24)",England,£180Th.
11,Left Winger,Nathan Redmond,"Mar 6, 1994 (26)",England / Ireland,£16.20m
12,Left Winger,Moussa Djenepo,"Jun 15, 1998 (22)",Mali,£9.90m
19,Left Winger,Sofiane Boufal,"Sep 17, 1993 (26)",Morocco / France,£7.20m
-,Right Winger,Josh Sims,"Mar 28, 1997 (23)",England,£1.44m
9,Centre-Forward,Danny Ings,"Jul 23, 1992 (28)",England,£18.00m
10,Centre-Forward,Che Adams,"Jul 13, 1996 (24)",England / Antigua and Barbuda,£10.80m
-,Centre-Forward,Guido Carrillo,"May 25, 1991 (29)",Argentina / Italy,£4.32m
14,Centre-Forward,Michael Obafemi,"Jul 6, 2000 (20)",Ireland / Nigeria,£4.05m
7,Centre-Forward,Shane Long,"Jan 22, 1987 (33)",Ireland,£2.52m
1,Goalkeeper,Mathew Ryan,"Apr 8, 1992 (28)",Australia / England,£7.20m
27,Goalkeeper,David Button,"Feb 27, 1989 (31)",England,£1.08m
-,Goalkeeper,Christian Walton,"Nov 6, 1995 (24)",England,£720Th.
23,Goalkeeper,Jason Steele,"Aug 18, 1990 (30)",England,£540Th.
-,Goalkeeper,Robert Sánchez,"Nov 18, 1997 (22)",Spain,£135Th.
5,Centre-Back,Lewis Dunk,"Nov 21, 1991 (28)",England,£18.00m
15,Centre-Back,Adam Webster,"Jan 4, 1995 (25)",England,£10.80m
4,Centre-Back,Shane Duffy,"Jan 1, 1992 (28)",Ireland / Northern Ireland,£8.55m
34,Centre-Back,Joël Veltman,"Jan 15, 1992 (28)",Netherlands,£7.20m
-,Centre-Back,Ben White,"Oct 8, 1997 (22)",England,£4.95m
33,Centre-Back,Dan Burn,"May 9, 1992 (28)",England,£3.60m
30,Left-Back,Bernardo,"May 14, 1995 (25)",Brazil,£4.32m
2,Right-Back,Tariq Lamptey,"Sep 30, 2000 (19)",England / Ghana,£7.20m
28,Defensive Midfield,Tudor Baluta,"Mar 27, 1999 (21)",Romania,£3.24m
24,Central Midfield,Davy Pröpper,"Sep 2, 1991 (28)",Netherlands,£12.15m
8,Central Midfield,Yves Bissouma,"Aug 30, 1996 (24)",Mali / Cote d'Ivoire,£8.55m
6,Central Midfield,Dale Stephens,"Jun 12, 1989 (31)",England,£4.32m
-,Central Midfield,Jayson Molumby,"Aug 6, 1999 (21)",Ireland,£810Th.
20,Left Midfield,Solly March,"Jul 20, 1994 (26)",England,£5.85m
10,Attacking Midfield,Alexis Mac Allister,"Dec 24, 1998 (21)",Argentina,£9.90m
13,Attacking Midfield,Pascal Groß,"Jun 15, 1991 (29)",Germany,£8.55m
14,Attacking Midfield,Adam Lallana,"May 10, 1988 (32)",England,£8.55m
46,Attacking Midfield,Steven Alzate,"Sep 8, 1998 (21)",Colombia / England,£2.07m
11,Left Winger,Leandro Trossard,"Dec 4, 1994 (25)",Belgium,£11.70m
19,Left Winger,José Izquierdo,"Jul 7, 1992 (28)",Colombia,£5.85m
16,Right Winger,Alireza Jahanbakhsh,"Aug 11, 1993 (27)",Iran,£5.85m
7,Centre-Forward,Neal Maupay,"Aug 14, 1996 (24)",France / Argentina,£18.00m
44,Centre-Forward,Aaron Connolly,"Jan 28, 2000 (20)",Ireland,£3.60m
-,Centre-Forward,Florin Andone,"Apr 11, 1993 (27)",Romania / Spain,£2.52m
17,Centre-Forward,Glenn Murray,"Sep 25, 1983 (36)",England,£1.44m
-,Centre-Forward,Viktor Gyökeres,"Jun 4, 1998 (22)",Sweden,£900Th.
31,Goalkeeper,Vicente Guaita,"Jan 10, 1987 (33)",Spain,£3.60m
13,Goalkeeper,Wayne Hennessey,"Jan 24, 1987 (33)",Wales,£2.16m
12,Centre-Back,Mamadou Sakho,"Feb 13, 1990 (30)",France / Senegal,£8.55m
-,Centre-Back,Nathan Ferguson,"Oct 6, 2000 (19)",England,£3.60m
5,Centre-Back,James Tomkins,"Mar 29, 1989 (31)",England,£3.60m
24,Centre-Back,Gary Cahill,"Dec 19, 1985 (34)",England,£3.60m
44,Centre-Back,Jairo Riedewald,"Sep 9, 1996 (23)",Netherlands / Suriname,£2.88m
6,Centre-Back,Scott Dann,"Feb 14, 1987 (33)",England,£2.52m
33,Centre-Back,Jaroslaw Jach,"Feb 17, 1994 (26)",Poland,£473Th.
3,Left-Back,Patrick van Aanholt,"Aug 29, 1990 (30)",Netherlands / Curacao,£8.55m
2,Right-Back,Joel Ward,"Oct 29, 1989 (30)",England,£2.88m
34,Right-Back,Martin Kelly,"Apr 27, 1990 (30)",England,£2.52m
4,Defensive Midfield,Luka Milivojevic,"Apr 7, 1991 (29)",Serbia,£18.00m
8,Defensive Midfield,Cheikhou Kouyaté,"Dec 21, 1989 (30)",Senegal / Belgium,£7.20m
18,Central Midfield,James McArthur,"Oct 7, 1987 (32)",Scotland,£4.32m
22,Central Midfield,James McCarthy,"Nov 12, 1990 (29)",Ireland / Scotland,£3.60m
15,Left Midfield,Jeffrey Schlupp,"Dec 23, 1992 (27)",Ghana / Germany,£8.55m
-,Attacking Midfield,Eberechi Eze,"Jun 29, 1998 (22)",England / Nigeria,£8.10m
7,Attacking Midfield,Max Meyer,"Sep 18, 1995 (24)",Germany,£7.20m
40,Attacking Midfield,Brandon Pierrick,"Dec 10, 2001 (18)",England / Cameroon,
11,Left Winger,Wilfried Zaha,"Nov 10, 1992 (27)",Cote d'Ivoire / England,£39.60m
10,Right Winger,Andros Townsend,"Jul 16, 1991 (29)",England,£8.55m
17,Centre-Forward,Christian Benteke,"Dec 3, 1990 (29)",Belgium / DR Congo,£9.45m
9,Centre-Forward,Jordan Ayew,"Sep 11, 1991 (28)",Ghana / France,£9.00m
21,Centre-Forward,Connor Wickham,"Mar 31, 1993 (27)",England / Northern Ireland,£1.08m
1,Goalkeeper,Nick Pope,"Apr 19, 1992 (28)",England,£10.80m
15,Goalkeeper,Bailey Peacock-Farrell,"Oct 29, 1996 (23)",Northern Ireland / England,£1.08m
-,Goalkeeper,Will Norris,"Aug 12, 1993 (27)",England,£225Th.
40,Goalkeeper,Lukas Jensen,"Mar 18, 1999 (21)",Denmark,£23Th.
5,Centre-Back,James Tarkowski,"Nov 19, 1992 (27)",England / Poland,£18.00m
6,Centre-Back,Ben Mee,"Sep 21, 1989 (30)",England,£7.20m
14,Centre-Back,Ben Gibson,"Jan 15, 1993 (27)",England,£4.05m
28,Centre-Back,Kevin Long,"Aug 18, 1990 (30)",Ireland,£1.44m
34,Centre-Back,Jimmy Dunne,"Oct 19, 1997 (22)",Ireland,£180Th.
37,Centre-Back,Bobby Thomas,"Jan 30, 2001 (19)",England,£180Th.
3,Left-Back,Charlie Taylor,"Sep 18, 1993 (26)",England,£3.60m
23,Left-Back,Erik Pieters,"Aug 7, 1988 (32)",Netherlands,£3.60m
2,Right-Back,Matthew Lowton,"Jun 9, 1989 (31)",England,£3.60m
26,Right-Back,Phil Bardsley,"Jun 28, 1985 (35)",Scotland / England,£720Th.
4,Defensive Midfield,Jack Cork,"Jun 25, 1989 (31)",England,£10.80m
18,Defensive Midfield,Ashley Westwood,"Apr 1, 1990 (30)",England,£4.95m
8,Central Midfield,Josh Brownhill,"Dec 19, 1995 (24)",England,£4.95m
-,Central Midfield,Aiden O'Neill,"Jul 4, 1998 (22)",Australia / Northern Ireland,£450Th.
44,Central Midfield,Mace Goodridge,"Sep 13, 1999 (20)",England,£180Th.
12,Left Midfield,Robbie Brady,"Jan 14, 1992 (28)",Ireland,£4.32m
11,Left Winger,Dwight McNeil,"Nov 22, 1999 (20)",England,£22.50m
7,Right Winger,Jóhann Berg Gudmundsson,"Oct 27, 1990 (29)",Iceland,£7.20m
9,Centre-Forward,Chris Wood,"Dec 7, 1991 (28)",New Zealand,£13.05m
10,Centre-Forward,Ashley Barnes,"Oct 30, 1989 (30)",England,£7.20m
19,Centre-Forward,Jay Rodríguez,"Jul 29, 1989 (31)",England / Spain,£5.40m
27,Centre-Forward,Matej Vydra,"May 1, 1992 (28)",Czech Republic,£3.60m
1,Goalkeeper,Aaron Ramsdale,"May 14, 1998 (22)",England,£11.25m
21,Goalkeeper,Michael Verrips,"Dec 3, 1996 (23)",Netherlands,£720Th.
18,Goalkeeper,Wes Foderingham,"Jan 14, 1991 (29)",England,£360Th.
25,Goalkeeper,Simon Moore,"May 19, 1990 (30)",England,£360Th.
12,Centre-Back,John Egan,"Oct 20, 1992 (27)",Ireland,£11.70m
5,Centre-Back,Jack O'Connell,"Mar 29, 1994 (26)",England,£8.55m
6,Centre-Back,Chris Basham,"Jul 20, 1988 (32)",England,£2.70m
15,Centre-Back,Phil Jagielka,"Aug 17, 1982 (38)",England / Poland,£720Th.
20,Centre-Back,Kean Bryan,"Nov 1, 1996 (23)",England / Jamaica,£225Th.
3,Left-Back,Enda Stevens,"Jul 9, 1990 (30)",Ireland,£4.95m
19,Left-Back,Jack Robinson,"Sep 1, 1993 (26)",England,£1.80m
2,Right-Back,George Baldock,"Mar 9, 1993 (27)",England / Greece,£5.85m
8,Defensive Midfield,Sander Berge,"Feb 14, 1998 (22)",Norway,£18.00m
26,Defensive Midfield,Jack Rodwell,"Mar 11, 1991 (29)",England,£1.08m
16,Central Midfield,Oliver Norwood,"Apr 12, 1991 (29)",Northern Ireland / England,£8.10m
4,Central Midfield,John Fleck,"Aug 24, 1991 (29)",Scotland,£7.20m
7,Central Midfield,John Lundstram,"Feb 18, 1994 (26)",England,£7.20m
23,Left Midfield,Ben Osborn,"Aug 5, 1994 (26)",England,£1.80m
21,Left Winger,Callum Robinson,"Feb 2, 1995 (25)",Ireland / England,£4.95m
11,Centre-Forward,Lys Mousset,"Feb 8, 1996 (24)",France / Senegal,£12.60m
9,Centre-Forward,Oliver McBurnie,"Jun 4, 1996 (24)",Scotland / England,£10.80m
17,Centre-Forward,David McGoldrick,"Nov 29, 1987 (32)",Ireland / England,£1.80m
10,Centre-Forward,Billy Sharp,"Feb 5, 1986 (34)",England,£1.44m
12,Goalkeeper,Marek Rodak,"Dec 13, 1996 (23)",Slovakia,£3.60m
1,Goalkeeper,Marcus Bettinelli,"May 24, 1992 (28)",England,£1.44m
31,Goalkeeper,Fabri,"Dec 31, 1987 (32)",Spain / Uruguay,£1.08m
5,Centre-Back,Alfie Mawson,"Jan 19, 1994 (26)",England,£6.30m
3,Centre-Back,Michael Hector,"Jul 19, 1992 (28)",Jamaica / England,£4.32m
20,Centre-Back,Maxime Le Marchand,"Oct 11, 1989 (30)",France,£1.44m
13,Centre-Back,Tim Ream,"Oct 5, 1987 (32)",United States,£1.08m
23,Left-Back,Joe Bryan,"Sep 17, 1993 (26)",England,£4.95m
33,Left-Back,Antonee Robinson,"Aug 8, 1997 (23)",United States / England,£3.15m
43,Right-Back,Steven Sessegnon,"May 18, 2000 (20)",England,£2.07m
4,Right-Back,Denis Odoi,"May 27, 1988 (32)",Belgium / Ghana,£1.44m
22,Right-Back,Cyrus Christie,"Sep 30, 1992 (27)",Ireland / England,£1.44m
29,Defensive Midfield,André Zambo Anguissa,"Nov 16, 1995 (24)",Cameroon,£18.00m
6,Defensive Midfield,Kevin McDonald,"Nov 4, 1988 (31)",Scotland,£1.80m
10,Central Midfield,Tom Cairney,"Jan 20, 1991 (29)",Scotland / England,£10.80m
-,Central Midfield,Jean Michaël Seri,"Jul 19, 1991 (29)",Cote d'Ivoire,£8.10m
8,Central Midfield,Stefan Johansen,"Jan 8, 1991 (29)",Norway,£2.88m
25,Attacking Midfield,Josh Onomah,"Apr 27, 1997 (23)",England,£3.60m
19,Left Winger,Ivan Cavaleiro,"Oct 18, 1993 (26)",Portugal / Cape Verde,£7.20m
7,Left Winger,Neeskens Kebano,"Mar 10, 1992 (28)",DR Congo / France,£1.08m
58,Left Winger,Sylvester Jasper,"Sep 13, 2001 (18)",England,
11,Right Winger,Anthony Knockaert,"Nov 20, 1991 (28)",France / Belgium,£5.85m
47,Right Winger,Aboubakar Kamara,"Mar 7, 1995 (25)",France / Mauritania,£1.44m
14,Second Striker,Bobby Reid,"Feb 2, 1993 (27)",Jamaica / England,£7.20m
9,Centre-Forward,Aleksandar Mitrovic,"Sep 16, 1994 (25)",Serbia,£18.00m
61,Centre-Forward,Jay Stansfield,"Nov 24, 2002 (17)",England,£405Th.
1,Goalkeeper,Illan Meslier,"Mar 2, 2000 (20)",France,£4.05m
13,Goalkeeper,Kiko Casilla,"Oct 2, 1986 (33)",Spain,£1.80m
25,Goalkeeper,Elia Caprile,"Aug 25, 2001 (19)",Italy,£90Th.
30,Goalkeeper,Kamil Miazek,"Aug 15, 1996 (24)",Poland,£90Th.
-,Centre-Back,Robin Koch,"Jul 17, 1996 (24)",Germany,£15.30m
6,Centre-Back,Liam Cooper,"Aug 30, 1991 (29)",Scotland / England,£4.95m
34,Centre-Back,Pascal Struijk,"Aug 11, 1999 (21)",Netherlands / Belgium,
49,Centre-Back,Oliver Casey,"Oct 14, 2000 (19)",England,
10,Left-Back,Ezgjan Alioski,"Feb 12, 1992 (28)",North Macedonia / Switzerland,£3.15m
15,Left-Back,Stuart Dallas,"Apr 19, 1991 (29)",Northern Ireland,£2.16m
3,Left-Back,Barry Douglas,"Sep 4, 1989 (30)",Scotland,£1.80m
40,Left-Back,Leif Davis,"Jan 12, 2000 (20)",England,£90Th.
2,Right-Back,Luke Ayling,"Aug 25, 1991 (29)",England,£2.16m
-,Right-Back,Cody Drameh,"Dec 8, 2001 (18)",England,
23,Defensive Midfield,Kalvin Phillips,"Dec 2, 1995 (24)",England / Jamaica,£10.80m
-,Defensive Midfield,Ouasim Bouy,"Jun 11, 1993 (27)",Morocco / Netherlands,£293Th.
-,Defensive Midfield,Conor Shaughnessy,"Jun 30, 1996 (24)",Ireland,£225Th.
4,Central Midfield,Adam Forshaw,"Oct 8, 1991 (28)",England,£2.88m
43,Central Midfield,Mateusz Klich,"Jun 13, 1990 (30)",Poland,£2.52m
46,Central Midfield,Jamie Shackleton,"Oct 8, 1999 (20)",England,£2.07m
44,Central Midfield,Mateusz Bogusz,"Aug 22, 2001 (19)",Poland,£90Th.
36,Central Midfield,Robbie Gotts,"Nov 9, 1999 (20)",England,
38,Central Midfield,Alfie McCalmont,"Mar 25, 2000 (20)",Northern Ireland / England,
48,Right Midfield,Jordan Stevens,"Mar 25, 2000 (20)",England,£180Th.
19,Attacking Midfield,Pablo Hernández,"Apr 11, 1985 (35)",Spain,£1.08m
22,Left Winger,Jack Harrison,"Nov 20, 1996 (23)",England,£4.68m
17,Right Winger,Hélder Costa,"Jan 12, 1994 (26)",Portugal / Angola,£7.20m
7,Right Winger,Ian Poveda,"Feb 9, 2000 (20)",England / Colombia,£608Th.
19,Centre-Forward,Rodrigo,"Mar 6, 1991 (29)",Spain / Brazil,£36.00m
9,Centre-Forward,Patrick Bamford,"Sep 5, 1993 (26)",England / Ireland,£5.85m
11,Centre-Forward,Tyler Roberts,"Jan 12, 1999 (21)",Wales / England,£3.24m
-,Centre-Forward,Joe Gelhardt,"May 4, 2002 (18)",England,£1.17m
-,Centre-Forward,Jay-Roy Grot,"Mar 13, 1998 (22)",Netherlands / Suriname,£720Th.
1,Goalkeeper,Sam Johnstone,"Mar 25, 1993 (27)",England,£4.95m
39,Goalkeeper,Alex Palmer,"Aug 10, 1996 (24)",England,
6,Centre-Back,Semi Ajayi,"Nov 9, 1993 (26)",Nigeria / England,£3.60m
26,Centre-Back,Ahmed Hegazy,"Jan 25, 1991 (29)",Egypt,£3.15m
5,Centre-Back,Kyle Bartley,"May 22, 1991 (29)",England / Jamaica,£2.52m
27,Centre-Back,Dara O'Shea,"Mar 4, 1999 (21)",Ireland,£810Th.
3,Left-Back,Kieran Gibbs,"Sep 26, 1989 (30)",England,£2.88m
14,Left-Back,Conor Townsend,"Mar 4, 1993 (27)",England,£720Th.
2,Right-Back,Darnell Furlong,"Oct 31, 1995 (24)",England / Montserrat,£2.88m
8,Defensive Midfield,Jake Livermore,"Nov 14, 1989 (30)",England,£4.95m
19,Central Midfield,Romaine Sawyers,"Nov 2, 1991 (28)",St. Kitts & Nevis / England,£2.88m
16,Central Midfield,Rekeem Harper,"Mar 8, 2000 (20)",England / Jamaica,£2.07m
28,Central Midfield,Sam Field,"May 8, 1998 (22)",England,£900Th.
13,Left Winger,Kamil Grosicki,"Jun 8, 1988 (32)",Poland,£2.16m
21,Left Winger,Kyle Edwards,"Feb 17, 1998 (22)",England,£1.17m
12,Right Winger,Matheus Pereira,"May 5, 1996 (24)",Brazil / Portugal,£8.55m
10,Right Winger,Matt Phillips,"Mar 13, 1991 (29)",Scotland / England,£4.95m
17,Right Winger,Oliver Burke,"Apr 7, 1997 (23)",Scotland,£4.32m
9,Centre-Forward,Kenneth Zohore,"Jan 31, 1994 (26)",Denmark / Cote d'Ivoire,£3.60m
15,Centre-Forward,Charlie Austin,"Jul 5, 1989 (31)",England,£2.88m
4,Centre-Forward,Hal Robson-Kanu,"May 21, 1989 (31)",Wales / England,£2.16m
1,Goalkeeper,Samir Handanovic,"Jul 14, 1984 (36)",Slovenia,£3.60m
-,Goalkeeper,Gabriel Brazão,"Oct 5, 2000 (19)",Brazil,£1.35m
27,Goalkeeper,Daniele Padelli,"Oct 25, 1985 (34)",Italy,£450Th.
46,Goalkeeper,Tommaso Berni,"Mar 6, 1983 (37)",Italy,£90Th.
6,Centre-Back,Stefan de Vrij,"Feb 5, 1992 (28)",Netherlands,£54.00m
37,Centre-Back,Milan Skriniar,"Feb 11, 1995 (25)",Slovakia,£45.00m
95,Centre-Back,Alessandro Bastoni,"Apr 13, 1999 (21)",Italy,£40.50m
2,Centre-Back,Diego Godín,"Feb 16, 1986 (34)",Uruguay / Spain,£4.50m
13,Centre-Back,Andrea Ranocchia,"Feb 16, 1988 (32)",Italy,£1.80m
31,Centre-Back,Lorenzo Pirola,"Feb 20, 2002 (18)",Italy,£1.35m
33,Right-Back,Danilo D'Ambrosio,"Sep 9, 1988 (31)",Italy,£9.00m
-,Right-Back,Georgios Vagiannidis,"Sep 12, 2001 (18)",Greece,£360Th.
77,Defensive Midfield,Marcelo Brozovic,"Nov 16, 1992 (27)",Croatia,£45.00m
32,Defensive Midfield,Lucien Agoume,"Feb 9, 2002 (18)",France / Cameroon,£3.15m
23,Central Midfield,Nicolò Barella,"Feb 7, 1997 (23)",Italy,£45.00m
